resolve_biome,esa_code,koppen_pattern,biome_id
TEMPERATE_CONIFER_FORESTS,10,DWC,snowy_taiga
TEMPERATE_CONIFER_FORESTS,10,DWD,snowy_taiga
TEMPERATE_CONIFER_FORESTS,10,DSC,snowy_taiga
TEMPERATE_CONIFER_FORESTS,10,DSD,snowy_taiga
TEMPERATE_CONIFER_FORESTS,10,D*,taiga
TEMPERATE_CONIFER_FORESTS,10,B*,windswept_forest
TEMPERATE_CONIFER_FORESTS,10,*,old_growth_pine_taiga
TEMPERATE_CONIFER_FORESTS,20,*,windswept_hills
TEMPERATE_CONIFER_FORESTS,30,*,meadow
TEMPERATE_CONIFER_FORESTS,40,*,plains
TEMPERATE_CONIFER_FORESTS,50,*,plains
TEMPERATE_CONIFER_FORESTS,60,*,stony_peaks
TEMPERATE_CONIFER_FORESTS,90,*,swamp
TEMPERATE_CONIFER_FORESTS,100,*,meadow
# Boreal forest and taiga.
BOREAL_FORESTS_TAIGA,10,ET,grove
BOREAL_FORESTS_TAIGA,10,DFC,snowy_taiga
BOREAL_FORESTS_TAIGA,10,DFD,snowy_taiga
BOREAL_FORESTS_TAIGA,10,DWC,snowy_taiga
BOREAL_FORESTS_TAIGA,10,DWD,snowy_taiga
BOREAL_FORESTS_TAIGA,10,DSC,snowy_taiga
BOREAL_FORESTS_TAIGA,10,DSD,snowy_taiga
BOREAL_FORESTS_TAIGA,10,*,taiga
BOREAL_FORESTS_TAIGA,20,ET,snowy_plains
BOREAL_FORESTS_TAIGA,20,DFC,snowy_plains
BOREAL_FORESTS_TAIGA,20,DFD,snowy_plains
BOREAL_FORESTS_TAIGA,20,*,meadow
BOREAL_FORESTS_TAIGA,30,ET,snowy_plains
BOREAL_FORESTS_TAIGA,30,DFC,snowy_plains
BOREAL_FORESTS_TAIGA,30,DFD,snowy_plains
BOREAL_FORESTS_TAIGA,30,*,meadow
BOREAL_FORESTS_TAIGA,40,ET,snowy_plains
BOREAL_FORESTS_TAIGA,40,*,plains
BOREAL_FORESTS_TAIGA,50,ET,snowy_plains
BOREAL_FORESTS_TAIGA,50,*,plains
BOREAL_FORESTS_TAIGA,60,*,stony_peaks
BOREAL_FORESTS_TAIGA,90,ET,snowy_plains
BOREAL_FORESTS_TAIGA,90,*,swamp
BOREAL_FORESTS_TAIGA,100,ET,snowy_plains
BOREAL_FORESTS_TAIGA,100,*,meadow
# Tropical grasslands, savannas, and shrublands.
TROPICAL_GRASSLANDS_SAVANNAS_SHRUBLANDS,10,*,savanna
TROPICAL_GRASSLANDS_SAVANNAS_SHRUBLANDS,20,*,savanna
TROPICAL_GRASSLANDS_SAVANNAS_SHRUBLANDS,30,*,savanna
TROPICAL_GRASSLANDS_SAVANNAS_SHRUBLANDS,40,*,savanna
TROPICAL_GRASSLANDS_SAVANNAS_SHRUBLANDS,50,*,savanna
TROPICAL_GRASSLANDS_SAVANNAS_SHRUBLANDS,60,BWH,desert
TROPICAL_GRASSLANDS_SAVANNAS_SHRUBLANDS,60,BW*,badlands
TROPICAL_GRASSLANDS_SAVANNAS_SHRUBLANDS,60,*,windswept_savanna
TROPICAL_GRASSLANDS_SAVANNAS_SHRUBLANDS,90,*,swamp
TROPICAL_GRASSLANDS_SAVANNAS_SHRUBLANDS,100,*,savanna
# Temperate grasslands, savannas, and shrublands.
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,10,B*,windswept_forest
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,10,*,forest
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,20,B*,windswept_hills
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,20,*,plains
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,30,*,plains
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,40,*,plains
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,50,*,plains
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,60,B*,badlands
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,60,*,windswept_gravelly_hills
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,90,*,swamp
TEMPERATE_GRASSLANDS_SAVANNAS_SHRUBLANDS,100,*,meadow
# Flooded grasslands and savannas.
FLOODED_GRASSLANDS_SAVANNAS,10,*,swamp
FLOODED_GRASSLANDS_SAVANNAS,20,*,swamp
FLOODED_GRASSLANDS_SAVANNAS,30,*,swamp
FLOODED_GRASSLANDS_SAVANNAS,40,*,plains
FLOODED_GRASSLANDS_SAVANNAS,50,*,plains
FLOODED_GRASSLANDS_SAVANNAS,60,*,swamp
FLOODED_GRASSLANDS_SAVANNAS,90,*,swamp
FLOODED_GRASSLANDS_SAVANNAS,100,*,swamp
# Montane grasslands and shrublands.
MONTANE_GRASSLANDS_SHRUBLANDS,10,*,grove
MONTANE_GRASSLANDS_SHRUBLANDS,20,*,windswept_hills
MONTANE_GRASSLANDS_SHRUBLANDS,30,*,meadow
MONTANE_GRASSLANDS_SHRUBLANDS,40,*,meadow
MONTANE_GRASSLANDS_SHRUBLANDS,50,*,plains
MONTANE_GRASSLANDS_SHRUBLANDS,60,*,stony_peaks
MONTANE_GRASSLANDS_SHRUBLANDS,90,*,swamp
MONTANE_GRASSLANDS_SHRUBLANDS,100,*,meadow
# Tundra.
TUNDRA,10,*,grove
TUNDRA,20,*,snowy_plains
TUNDRA,30,*,snowy_plains
TUNDRA,40,*,snowy_plains
TUNDRA,50,*,snowy_plains
TUNDRA,60,*,stony_peaks
TUNDRA,90,*,snowy_plains
TUNDRA,100,*,snowy_plains
# Mediterranean forests, woodlands, and scrub.
MEDITERRANEAN_FORESTS_WOODLANDS_SCRUB,10,*,windswept_forest
MEDITERRANEAN_FORESTS_WOODLANDS_SCRUB,20,*,windswept_savanna
MEDITERRANEAN_FORESTS_WOODLANDS_SCRUB,30,*,plains
MEDITERRANEAN_FORESTS_WOODLANDS_SCRUB,40,*,plains
MEDITERRANEAN_FORESTS_WOODLANDS_SCRUB,50,*,plains
MEDITERRANEAN_FORESTS_WOODLANDS_SCRUB,60,B*,badlands
MEDITERRANEAN_FORESTS_WOODLANDS_SCRUB,60,*,windswept_gravelly_hills
MEDITERRANEAN_FORESTS_WOODLANDS_SCRUB,90,*,swamp
MEDITERRANEAN_FORESTS_WOODLANDS_SCRUB,100,*,meadow
# Deserts and xeric shrublands.
DESERTS_XERIC_SHRUBLANDS,10,BW*,wooded_badlands
DESERTS_XERIC_SHRUBLANDS,10,BS*,savanna
DESERTS_XERIC_SHRUBLANDS,10,*,savanna
DESERTS_XERIC_SHRUBLANDS,20,BWH,desert
DESERTS_XERIC_SHRUBLANDS,20,BWK,badlands
DESERTS_XERIC_SHRUBLANDS,20,BSH,savanna
DESERTS_XERIC_SHRUBLANDS,20,BSK,windswept_hills
DESERTS_XERIC_SHRUBLANDS,20,B*,badlands
DESERTS_XERIC_SHRUBLANDS,20,*,windswept_savanna
DESERTS_XERIC_SHRUBLANDS,30,BWH,desert
DESERTS_XERIC_SHRUBLANDS,30,BWK,badlands
DESERTS_XERIC_SHRUBLANDS,30,BSH,savanna
DESERTS_XERIC_SHRUBLANDS,30,BSK,plains
DESERTS_XERIC_SHRUBLANDS,30,B*,badlands
DESERTS_XERIC_SHRUBLANDS,30,*,plains
DESERTS_XERIC_SHRUBLANDS,40,BWH,desert
DESERTS_XERIC_SHRUBLANDS,40,BSH,savanna
DESERTS_XERIC_SHRUBLANDS,40,*,plains
DESERTS_XERIC_SHRUBLANDS,50,BWH,desert
DESERTS_XERIC_SHRUBLANDS,50,BSH,savanna
DESERTS_XERIC_SHRUBLANDS,50,*,plains
DESERTS_XERIC_SHRUBLANDS,60,BWH,desert
DESERTS_XERIC_SHRUBLANDS,60,B*,badlands
DESERTS_XERIC_SHRUBLANDS,60,*,badlands
DESERTS_XERIC_SHRUBLANDS,90,*,swamp
DESERTS_XERIC_SHRUBLANDS,100,B*,badlands
DESERTS_XERIC_SHRUBLANDS,100,*,windswept_hills
# Mangrove regions retain their ecological identity even where ESA reports
# adjacent tree, shrub, wetland, or sparse coastal cover.
MANGROVES,10,*,mangrove_swamp
MANGROVES,20,*,mangrove_swamp
MANGROVES,30,*,mangrove_swamp
MANGROVES,40,*,plains
MANGROVES,50,*,plains
MANGROVES,60,*,mangrove_swamp
MANGROVES,90,*,mangrove_swamp
MANGROVES,95,*,mangrove_swamp
MANGROVES,100,*,mangrove_swamp
# RESOLVE's ECO_ID 0 is Rock and Ice, not missing data.
ROCK_AND_ICE,10,*,grove
ROCK_AND_ICE,20,*,snowy_plains
ROCK_AND_ICE,30,*,snowy_plains
ROCK_AND_ICE,40,*,snowy_plains
ROCK_AND_ICE,50,*,snowy_plains
ROCK_AND_ICE,60,*,stony_peaks
ROCK_AND_ICE,70,*,frozen_peaks
ROCK_AND_ICE,90,*,snowy_plains
ROCK_AND_ICE,100,*,snowy_plains
