eco_id,eco_name,biome_num,biome_name,realm,license
19,Maputaland coastal forests and woodlands,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
20,Mascarene forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
21,Mount Cameroon and Bioko montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
22,Niger Delta swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
23,Nigerian lowland forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
24,Northeast Congolian lowland forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
25,Northern Swahili coastal forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
26,Northwest Congolian lowland forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
27,"São Tomé, Príncipe, and Annobón forests",1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
28,Southern Swahili coastal forests and woodlands,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
29,Western Congolian swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
30,Western Guinean lowland forests,1,Tropical & Subtropical Moist Broadleaf Forests,Afrotropic,CC-BY 4.0
31,Cape Verde Islands dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Afrotropic,CC-BY 4.0
32,Madagascar dry deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Afrotropic,CC-BY 4.0
33,Zambezian evergreen dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Afrotropic,CC-BY 4.0
34,Angolan mopane woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
35,Angolan scarp savanna and woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
36,Angolan wet miombo woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
37,Ascension scrub and grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
38,Central bushveld,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
39,Central Zambezian wet miombo woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
40,Drakensberg Escarpment savanna and thicket,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
41,Drakensberg grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
42,Dry miombo woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
43,East Sudanian savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
44,Guinean forest-savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
45,Horn of Africa xeric bushlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
46,Itigi-Sumbu thicket,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
47,Kalahari Acacia woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
48,Limpopo lowveld,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
49,Mandara Plateau woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
50,Masai xeric grasslands and shrublands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
51,Northern Acacia-Commiphora bushlands and thickets,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
52,Northern Congolian Forest-Savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
53,Sahelian Acacia savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
54,Serengeti volcanic grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
55,Somali Acacia-Commiphora bushlands and thickets,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
56,"South Arabian fog woodlands, shrublands, and dune",7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
57,Southern Acacia-Commiphora bushlands and thickets,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
58,Southern Congolian forest-savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
59,Southwest Arabian montane woodlands and grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
60,St. Helena scrub and woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
61,Victoria Basin forest-savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
62,West Sudanian savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
63,Western Congolian forest-savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
64,Zambezian Baikiaea woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
65,Zambezian mopane woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
66,Zambezian-Limpopo mixed woodlands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
67,Amsterdam-Saint Paul Islands temperate grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
68,Tristan Da Cunha-Gough Islands shrub and grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Afrotropic,CC-BY 4.0
69,East African halophytics,9,Flooded Grasslands & Savannas,Afrotropic,CC-BY 4.0
70,Etosha Pan halophytics,9,Flooded Grasslands & Savannas,Afrotropic,CC-BY 4.0
71,Inner Niger Delta flooded savanna,9,Flooded Grasslands & Savannas,Afrotropic,CC-BY 4.0
72,Lake Chad flooded savanna,9,Flooded Grasslands & Savannas,Afrotropic,CC-BY 4.0
73,Makgadikgadi halophytics,9,Flooded Grasslands & Savannas,Afrotropic,CC-BY 4.0
74,Sudd flooded grasslands,9,Flooded Grasslands & Savannas,Afrotropic,CC-BY 4.0
75,Zambezian coastal flooded savanna,9,Flooded Grasslands & Savannas,Afrotropic,CC-BY 4.0
76,Zambezian flooded grasslands,9,Flooded Grasslands & Savannas,Afrotropic,CC-BY 4.0
77,Angolan montane forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
78,East African montane moorlands,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
79,Ethiopian montane grasslands and woodlands,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
80,Ethiopian montane moorlands,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
81,Highveld grasslands,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
82,Jos Plateau forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
83,Madagascar ericoid thickets,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
84,Mulanje Montane forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
85,Nyanga-Chimanimani Montane forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
86,Rwenzori-Virunga montane moorlands,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
87,Southern Rift Montane forest-grassland,10,Montane Grasslands & Shrublands,Afrotropic,CC-BY 4.0
88,Albany thickets,12,"Mediterranean Forests, Woodlands & Scrub",Afrotropic,CC-BY 4.0
89,Fynbos shrubland,12,"Mediterranean Forests, Woodlands & Scrub",Afrotropic,CC-BY 4.0
90,Renosterveld shrubland,12,"Mediterranean Forests, Woodlands & Scrub",Afrotropic,CC-BY 4.0
91,Aldabra Island xeric scrub,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
92,Djibouti xeric shrublands,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
93,Eritrean coastal desert,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
94,Gariep Karoo,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
95,Hobyo grasslands and shrublands,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
96,Ile Europa and Bassas da India xeric scrub,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
97,Kalahari xeric savanna,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
98,Kaokoveld desert,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
99,Madagascar spiny thickets,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
100,Madagascar succulent woodlands,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
101,Nama Karoo shrublands,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
102,Namaqualand-Richtersveld steppe,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
103,Namib Desert,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
104,Namibian savanna woodlands,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
105,Socotra Island xeric shrublands,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
106,Somali montane xeric woodlands,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
107,Southwest Arabian coastal xeric shrublands,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
108,Southwest Arabian Escarpment shrublands and woodlands,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
109,Southwest Arabian highland xeric scrub,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
110,Succulent Karoo xeric shrublands,13,Deserts & Xeric Shrublands,Afrotropic,CC-BY 4.0
111,Central African mangroves,14,Mangroves,Afrotropic,CC-BY 4.0
112,East African mangroves,14,Mangroves,Afrotropic,CC-BY 4.0
113,Guinean mangroves,14,Mangroves,Afrotropic,CC-BY 4.0
114,Madagascar mangroves,14,Mangroves,Afrotropic,CC-BY 4.0
115,Red Sea mangroves,14,Mangroves,Afrotropic,CC-BY 4.0
116,Southern Africa mangroves,14,Mangroves,Afrotropic,CC-BY 4.0
117,Adelie Land tundra,11,Tundra,Antarctica,CC-BY 4.0
118,Central South Antarctic Peninsula tundra,11,Tundra,Antarctica,CC-BY 4.0
119,Dronning Maud Land tundra,11,Tundra,Antarctica,CC-BY 4.0
120,East Antarctic tundra,11,Tundra,Antarctica,CC-BY 4.0
121,Ellsworth Land tundra,11,Tundra,Antarctica,CC-BY 4.0
122,Ellsworth Mountains tundra,11,Tundra,Antarctica,CC-BY 4.0
123,Enderby Land tundra,11,Tundra,Antarctica,CC-BY 4.0
124,Marie Byrd Land tundra,11,Tundra,Antarctica,CC-BY 4.0
125,North Victoria Land tundra,11,Tundra,Antarctica,CC-BY 4.0
126,Northeast Antarctic Peninsula tundra,11,Tundra,Antarctica,CC-BY 4.0
127,Northwest Antarctic Peninsula tundra,11,Tundra,Antarctica,CC-BY 4.0
128,Prince Charles Mountains tundra,11,Tundra,Antarctica,CC-BY 4.0
129,Scotia Sea Islands tundra,11,Tundra,Antarctica,CC-BY 4.0
130,South Antarctic Peninsula tundra,11,Tundra,Antarctica,CC-BY 4.0
131,South Orkney Islands tundra,11,Tundra,Antarctica,CC-BY 4.0
132,South Victoria Land tundra,11,Tundra,Antarctica,CC-BY 4.0
133,Southern Indian Ocean Islands tundra,11,Tundra,Antarctica,CC-BY 4.0
134,Transantarctic Mountains tundra,11,Tundra,Antarctica,CC-BY 4.0
135,Admiralty Islands lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
136,Banda Sea Islands moist deciduous forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
137,Biak-Numfoor rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
138,Buru rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
139,Central Range Papuan montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
140,Halmahera rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
141,Huon Peninsula montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
142,Lord Howe Island subtropical forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
143,Louisiade Archipelago rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
144,New Britain-New Ireland lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
145,New Britain-New Ireland montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
146,New Caledonia rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
147,Norfolk Island subtropical forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
148,Northern New Guinea lowland rain and freshwater swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
149,Northern New Guinea montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
150,Queensland tropical rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
151,Seram rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
152,Solomon Islands rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
153,Southeast Papuan rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
154,Southern New Guinea freshwater swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
155,Southern New Guinea lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
156,Sulawesi lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
157,Sulawesi montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
158,Trobriand Islands rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
159,Vanuatu rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
160,Vogelkop montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
161,Vogelkop-Aru lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
162,Yapen rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Australasia,CC-BY 4.0
163,Lesser Sundas deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Australasia,CC-BY 4.0
164,New Caledonia dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Australasia,CC-BY 4.0
165,Sumba deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Australasia,CC-BY 4.0
166,Timor and Wetar deciduous forests,2,Tropical & Subtropical Dry Broadleaf Forests,Australasia,CC-BY 4.0
167,Chatham Island temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
168,Eastern Australian temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
169,Fiordland temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
170,Nelson Coast temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
171,New Zealand North Island temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
172,New Zealand South Island temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
173,Northland temperate kauri forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
174,Rakiura Island temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
175,Richmond temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
176,Southeast Australia temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
177,Tasmanian Central Highland forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
178,Tasmanian temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
179,Tasmanian temperate rain forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
180,Westland temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,CC-BY 4.0
181,Arnhem Land tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
182,Brigalow tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
183,Cape York Peninsula tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
184,Carpentaria tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
185,Einasleigh upland savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
186,Kimberly tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
187,Mitchell Grass Downs,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
188,Trans Fly savanna and grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
189,Victoria Plains tropical savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
190,Canterbury-Otago tussock grasslands,8,"Temperate Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
191,Eastern Australia mulga shrublands,8,"Temperate Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
192,Southeast Australia temperate savanna,8,"Temperate Grasslands, Savannas & Shrublands",Australasia,CC-BY 4.0
193,Australian Alps montane grasslands,10,Montane Grasslands & Shrublands,Australasia,CC-BY 4.0
194,New Zealand South Island montane grasslands,10,Montane Grasslands & Shrublands,Australasia,CC-BY 4.0
195,Papuan Central Range sub-alpine grasslands,10,Montane Grasslands & Shrublands,Australasia,CC-BY 4.0
196,Antipodes Subantarctic Islands tundra,11,Tundra,Australasia,CC-BY 4.0
197,Coolgardie woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,CC-BY 4.0
198,Esperance mallee,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,CC-BY 4.0
199,Eyre and York mallee,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,CC-BY 4.0
200,Flinders-Lofty montane woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,CC-BY 4.0
201,Hampton mallee and woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,CC-BY 4.0
202,Jarrah-Karri forest and shrublands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,CC-BY 4.0
203,Murray-Darling woodlands and mallee,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,CC-BY 4.0
204,Naracoorte woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,CC-BY 4.0
205,Southwest Australia savanna,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,CC-BY 4.0
206,Southwest Australia woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,CC-BY 4.0
207,Carnarvon xeric shrublands,13,Deserts & Xeric Shrublands,Australasia,CC-BY 4.0
208,Central Ranges xeric scrub,13,Deserts & Xeric Shrublands,Australasia,CC-BY 4.0
209,Gibson desert,13,Deserts & Xeric Shrublands,Australasia,CC-BY 4.0
210,Great Sandy-Tanami desert,13,Deserts & Xeric Shrublands,Australasia,CC-BY 4.0
211,Great Victoria desert,13,Deserts & Xeric Shrublands,Australasia,CC-BY 4.0
212,Nullarbor Plains xeric shrublands,13,Deserts & Xeric Shrublands,Australasia,CC-BY 4.0
213,Pilbara shrublands,13,Deserts & Xeric Shrublands,Australasia,CC-BY 4.0
214,Simpson desert,13,Deserts & Xeric Shrublands,Australasia,CC-BY 4.0
215,Tirari-Sturt stony desert,13,Deserts & Xeric Shrublands,Australasia,CC-BY 4.0
216,Western Australian Mulga shrublands,13,Deserts & Xeric Shrublands,Australasia,CC-BY 4.0
217,New Guinea mangroves,14,Mangroves,Australasia,CC-BY 4.0
218,Andaman Islands rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
219,Borneo lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
220,Borneo montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
221,Borneo peat swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
222,Brahmaputra Valley semi-evergreen forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
223,Cardamom Mountains rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
224,Chao Phraya freshwater swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
225,Chao Phraya lowland moist deciduous forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
226,Chin Hills-Arakan Yoma montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
227,Christmas and Cocos Islands tropical forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
228,East Deccan moist deciduous forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
229,Eastern Java-Bali montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
230,Eastern Java-Bali rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
231,Greater Negros-Panay rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
232,Hainan Island monsoon rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
233,Himalayan subtropical broadleaf forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
234,Irrawaddy freshwater swamp forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
235,Irrawaddy moist deciduous forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
236,Jian Nan subtropical evergreen forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
237,Kayah-Karen montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
238,Lower Gangetic Plains moist deciduous forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
239,Luang Prabang montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
240,Luzon montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
241,Luzon rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
242,Malabar Coast moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
243,Maldives-Lakshadweep-Chagos Archipelago tropical moist forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
244,Meghalaya subtropical forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
245,Mentawai Islands rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
246,Mindanao montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
247,Mindanao-Eastern Visayas rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
248,Mindoro rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
249,Mizoram-Manipur-Kachin rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
250,Myanmar coastal rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
251,Nansei Islands subtropical evergreen forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
252,Nicobar Islands rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
253,North Western Ghats moist deciduous forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
254,North Western Ghats montane rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
255,Northern Annamites rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
256,Northern Indochina subtropical forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,CC-BY 4.0
